CRN,COURSE,SECTION,DAY,START TIME,END TIME,FIRST NAME,LAST NAME,LOCATION
02248,RUSS 1,40Z,TR,1830,2045,Larissa,Chiriaeva,ONLINE
26312,RUSS 1,41Z,MW,1830,2045,Larissa,Chiriaeva,ONLINE
